feature_set,model,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std,mcc_mean,mcc_std
full_all_features,xgboost,0.5131184647496383,0.053184730382369684,0.5389657284799939,0.09317452660712952,0.510203252672392,0.03997187045850655,0.5224578770750158,0.09697279672077123,0.5194323782473597,0.1116923780081169,0.06635192261005504,0.1867836244623949
sentiment_only_finbert,logistic_regression,0.5099576602152597,0.05038582317745004,0.49101763978882607,0.028899515773805135,0.46800249447027636,0.08666962252847707,0.5720007986023928,0.029975826063681002,0.5080888290997951,0.032262593657272354,-0.003111364945264001,0.04083122469648221
technical_plus_textblob,xgboost,0.5055519427897313,0.05323166142320108,0.5318328788151179,0.0800630339819736,0.501744267887188,0.042813444561241386,0.518813103764551,0.10699773020861783,0.5149383090099515,0.11214825049932879,0.05423257060301222,0.16717762890450658
technical_plus_vader_textblob,xgboost,0.5052683654462722,0.040379374364027214,0.5314779461089041,0.07724486934025598,0.5010411805684748,0.02909260896310814,0.5163694599677763,0.08646151169571681,0.5111990155346332,0.10604833187837584,0.05108776946163719,0.15508238564893095
technical_only,xgboost,0.5041819839142001,0.052579145383881774,0.5288862371292847,0.08479964958295894,0.500339227416134,0.04306717280688236,0.5189422210610697,0.10881877709492441,0.5158073442869062,0.11520718701164406,0.04900508899269316,0.17669779101601057
technical_only,logistic_regression,0.5038924766366766,0.0328261968972555,0.4819970826768711,0.032812459783155966,0.4663005520351251,0.0832034431386337,0.5712021502251377,0.07443064607680859,0.48410782271101593,0.02727965782065046,-0.007825930696842474,0.028589146187656386
technical_plus_finbert,xgboost,0.4991861177608964,0.04645037016789574,0.5231239731648859,0.08771930928033991,0.4937896208602668,0.04613610549406061,0.5118689004581539,0.08954553462694952,0.509168063204375,0.11173850337428702,0.03614216010879847,0.1790258971135292
technical_plus_finbert,logistic_regression,0.4970653907643613,0.0427394739628101,0.4792320296775083,0.03786567404472733,0.4632478954305711,0.09117629261295762,0.5570151754688004,0.057554513246048426,0.4841559687414595,0.04129561147515668,-0.01757614632384063,0.044149764505183924
technical_plus_vader_textblob,logistic_regression,0.49704041267189913,0.04896981726934894,0.4874507574920557,0.04193074254606113,0.4691959762404318,0.09169749947435314,0.5487878181497211,0.06628079944588215,0.48782946018678697,0.03734699564159062,-0.003197193737846231,0.05664957399259779
technical_only,svc_rbf,0.49651632791553524,0.021598717392395238,0.49738973497915007,0.02064529027355554,0.4763616447615468,0.06859915749234127,0.5432342395545892,0.10843202487856113,0.507707613801752,0.04293465965027804,0.021124058593776075,0.056508205639117216
