feature_set,model,fold,train_start,train_end,test_start,test_end,n_train,n_test,accuracy,precision,recall,f1,auc,mcc
sentiment_only_vader_textblob,naive_most_frequent,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.6460905349794238,0.0,0.0,0.0,0.5,0.0
sentiment_only_vader_textblob,logistic_regression,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5098814229249012,0.43359375,0.5186915887850467,0.4723404255319149,0.5221162463192932,0.021853436662393397
sentiment_only_vader_textblob,logistic_regression,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.4772277227722772,0.4756944444444444,0.548,0.5092936802973977,0.48720784313725496,-0.04459767248402364
sentiment_only_vader_textblob,logistic_regression,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.4676724137931034,0.49416342412451364,0.5204918032786885,0.5069860279441117,0.4812034277198211,-0.0707349110707263
sentiment_only_vader_textblob,logistic_regression,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.45394736842105265,0.5,0.3815261044176707,0.4328018223234624,0.4365481248666162,-0.0781754573396291
sentiment_only_vader_textblob,logistic_regression,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.4794238683127572,0.3527272727272727,0.563953488372093,0.43400447427293065,0.5151181306473115,-0.002822412357190246
sentiment_only_vader_textblob,random_forest,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5276679841897233,0.45098039215686275,0.5373831775700935,0.4904051172707889,0.561739854051978,0.05724048530129624
sentiment_only_vader_textblob,random_forest,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.499009900990099,0.4944237918215613,0.532,0.51252408477842,0.5041333333333333,-0.0013361237681419793
sentiment_only_vader_textblob,random_forest,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.5043103448275862,0.5275590551181102,0.5491803278688525,0.5381526104417671,0.514865871833085,0.003737637998980752
sentiment_only_vader_textblob,random_forest,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.4934210526315789,0.5584415584415584,0.3453815261044177,0.4267990074441687,0.4885435461653376,0.01776931042551641
sentiment_only_vader_textblob,random_forest,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.5555555555555556,0.3791208791208791,0.4011627906976744,0.3898305084745763,0.536540882832173,0.040794661115432396
sentiment_only_vader_textblob,xgboost,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5375494071146245,0.4621212121212121,0.5700934579439252,0.5104602510460251,0.5641883241582384,0.082868920033132
sentiment_only_vader_textblob,xgboost,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.49306930693069306,0.48951048951048953,0.56,0.5223880597014925,0.49058039215686267,-0.01266032394956051
sentiment_only_vader_textblob,xgboost,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.5064655172413793,0.5308641975308642,0.5286885245901639,0.5297741273100616,0.5137574515648287,0.010504456253541147
sentiment_only_vader_textblob,xgboost,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.4758771929824561,0.5294117647058824,0.3614457831325301,0.4295942720763723,0.4773878121180374,-0.02576898939446638
sentiment_only_vader_textblob,xgboost,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.49382716049382713,0.3287037037037037,0.4127906976744186,0.36597938144329895,0.5067212264849652,-0.047146779759100074
sentiment_only_vader_textblob,svc_rbf,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5158102766798419,0.4392156862745098,0.5233644859813084,0.47761194029850745,0.5432963128920754,0.03323743096776925
sentiment_only_vader_textblob,svc_rbf,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5168316831683168,0.5102040816326531,0.6,0.5514705882352942,0.5048313725490197,0.03577894501299704
sentiment_only_vader_textblob,svc_rbf,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.5,0.5247933884297521,0.5204918032786885,0.522633744855967,0.5186009687034278,-0.002234553835419198
sentiment_only_vader_textblob,svc_rbf,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.49780701754385964,0.5561797752808989,0.39759036144578314,0.4637002341920375,0.5129115495799623,0.016276258254032165
sentiment_only_vader_textblob,svc_rbf,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.5555555555555556,0.3888888888888889,0.4476744186046512,0.41621621621621624,0.5013053621685677,0.06065355004341629
sentiment_only_finbert,naive_most_frequent,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5770750988142292,0.0,0.0,0.0,0.5,0.0
sentiment_only_finbert,naive_most_frequent,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.504950495049505,0.0,0.0,0.0,0.5,0.0
sentiment_only_finbert,naive_most_frequent,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.47413793103448276,0.0,0.0,0.0,0.5,0.0
sentiment_only_finbert,naive_most_frequent,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.45394736842105265,0.0,0.0,0.0,0.5,0.0
sentiment_only_finbert,naive_most_frequent,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.6460905349794238,0.0,0.0,0.0,0.5,0.0
sentiment_only_finbert,logistic_regression,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.48023715415019763,0.4128113879003559,0.5420560747663551,0.4686868686868687,0.47581935731660474,-0.022877899857390673
sentiment_only_finbert,logistic_regression,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5089108910891089,0.5035971223021583,0.56,0.5303030303030303,0.5363921568627451,0.018919333158153424
sentiment_only_finbert,logistic_regression,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.47844827586206895,0.5036496350364964,0.5655737704918032,0.5328185328185329,0.5030923994038748,-0.053420304217958056
